panel,spike_id,time_s,x_px_in_panel,y_px_in_panel,x_px_abs,y_px_abs,y_norm_in_raster,sigma_px,detection_score
no_prediction_reward_occurs,no_prediction_reward_occurs_0162,-0.5146443514644352,58.0,114.0,450.0,315.0,0.6568627450980392,2.333333333333333,0.8723311546840959
no_prediction_reward_occurs,no_prediction_reward_occurs_0139,-0.497907949790795,60.0,124.0,452.0,325.0,0.7549019607843137,2.333333333333333,0.7917211328976035
no_prediction_reward_occurs,no_prediction_reward_occurs_0136,-0.4895397489539749,61.0,76.0,453.0,277.0,0.28431372549019607,1.8888888888888888,0.8021786492374727
no_prediction_reward_occurs,no_prediction_reward_occurs_0106,-0.4895397489539749,61.0,145.0,453.0,346.0,0.9607843137254902,1.8888888888888888,0.8104575163398694
no_prediction_reward_occurs,no_prediction_reward_occurs_0138,-0.4644351464435147,64.0,71.0,456.0,272.0,0.23529411764705882,1.6666666666666665,0.7790849673202614
no_prediction_reward_occurs,no_prediction_reward_occurs_0046,-0.4644351464435147,64.0,85.0,456.0,286.0,0.37254901960784315,1.8888888888888888,0.8788671023965142
no_prediction_reward_occurs,no_prediction_reward_occurs_0071,-0.4476987447698745,66.0,61.0,458.0,262.0,0.13725490196078433,2.111111111111111,0.8640522875816994
no_prediction_reward_occurs,no_prediction_reward_occurs_0211,-0.4393305439330544,67.0,129.0,459.0,330.0,0.803921568627451,1.4444444444444444,0.7856209150326797
no_prediction_reward_occurs,no_prediction_reward_occurs_0206,-0.4393305439330544,67.0,134.0,459.0,335.0,0.8529411764705882,3.0,0.664488017429194
no_prediction_reward_occurs,no_prediction_reward_occurs_0166,-0.41422594142259417,70.0,111.0,462.0,312.0,0.6274509803921569,2.111111111111111,0.8640522875816994
no_prediction_reward_occurs,no_prediction_reward_occurs_0111,-0.38912133891213385,73.0,114.0,465.0,315.0,0.6568627450980392,2.333333333333333,0.9167755991285402
no_prediction_reward_occurs,no_prediction_reward_occurs_0113,-0.38912133891213385,73.0,129.0,465.0,330.0,0.803921568627451,2.5555555555555554,0.9193899782135078
no_prediction_reward_occurs,no_prediction_reward_occurs_0175,-0.38075313807531386,74.0,62.0,466.0,263.0,0.14705882352941177,1.6666666666666665,0.8958605664488017
no_prediction_reward_occurs,no_prediction_reward_occurs_0063,-0.37238493723849375,75.0,96.0,467.0,297.0,0.4803921568627451,1.8888888888888888,0.8592592592592592
no_prediction_reward_occurs,no_prediction_reward_occurs_0115,-0.36401673640167365,76.0,55.0,468.0,256.0,0.0784313725490196,2.111111111111111,0.8775599128540306
no_prediction_reward_occurs,no_prediction_reward_occurs_0023,-0.36401673640167365,76.0,105.0,468.0,306.0,0.5686274509803921,2.111111111111111,0.9250544662309369
no_prediction_reward_occurs,no_prediction_reward_occurs_0148,-0.3138075313807531,82.0,61.0,474.0,262.0,0.13725490196078433,1.8888888888888888,0.8705882352941177
